currentPrice,previousClose,open,dayLow,dayHigh,bid,ask,volume,averageVolume,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,symbol,timestamp
533.1799926757812,532.58,531.88,527.5001,536.41,532.59,532.99,1369478,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011812556,BRK-B,2025-04-01 10:28:38.862460
532.8699951171875,532.58,531.88,527.5001,536.41,533.75,534.0,1427483,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011805687,BRK-B,2025-04-01 10:33:37.472204
533.3499755859375,532.58,531.88,527.5001,536.41,533.51,533.99,1472890,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011816322,BRK-B,2025-04-01 10:38:37.089308
532.8900146484375,532.58,531.88,527.5001,536.41,532.9,533.42,1508793,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011806131,BRK-B,2025-04-01 10:43:37.257390
532.9400024414062,532.58,531.88,527.5001,536.41,532.56,532.84,1544170,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011807239,BRK-B,2025-04-01 10:48:37.199729
532.9998779296875,532.58,531.88,527.5001,536.41,532.87,533.44,1590398,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808565,BRK-B,2025-04-01 10:53:37.388710
533.4249877929688,532.58,531.88,527.5001,536.41,532.66,532.87,1613571,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011817983,BRK-B,2025-04-01 10:58:36.956573
534.2849731445312,532.58,531.88,527.5001,536.41,532.8,533.22,1642921,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011837037,BRK-B,2025-04-01 11:03:37.161371
534.2999877929688,532.58,531.88,527.5001,536.41,532.46,533.0,1675962,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011837368,BRK-B,2025-04-01 11:08:37.257365
534.4500122070312,532.58,531.88,527.5001,536.41,533.24,533.6,1711257,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011840693,BRK-B,2025-04-01 11:13:37.077427
535.2199096679688,532.58,531.88,527.5001,536.41,534.14,534.5,1748949,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011857749,BRK-B,2025-04-01 11:18:37.453647
534.4400024414062,532.58,531.88,527.5001,536.41,534.02,534.3,1785256,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011840471,BRK-B,2025-04-01 11:23:36.990246
534.0150146484375,532.58,531.88,527.5001,536.41,534.26,534.64,1816155,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011831055,BRK-B,2025-04-01 11:28:37.014425
533.1099853515625,532.58,531.88,527.5001,536.41,534.8,535.39,1856606,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011811005,BRK-B,2025-04-01 11:33:36.940701
532.3599853515625,532.58,531.88,527.5001,536.41,534.43,534.96,1884437,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011794388,BRK-B,2025-04-01 11:38:36.945909
532.4550170898438,532.58,531.88,527.5001,536.41,533.88,534.21,1912192,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011797934,BRK-B,2025-04-01 11:43:36.892104
532.3820190429688,532.58,531.88,527.5001,536.41,533.23,533.4,1934490,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011794877,BRK-B,2025-04-01 11:48:36.990018
533.280029296875,532.58,531.88,527.5001,536.41,532.14,532.58,1961402,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011814772,BRK-B,2025-04-01 11:53:37.167158
533.0,532.58,531.88,527.5001,536.41,532.32,532.59,1982269,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808567,BRK-B,2025-04-01 11:58:36.967501
532.9000244140625,532.58,531.88,527.5001,536.41,532.17,532.44,2016356,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011806353,BRK-B,2025-04-01 12:03:36.987893
532.7349853515625,532.58,531.88,527.5001,536.41,532.78,533.36,2032395,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011802696,BRK-B,2025-04-01 12:08:37.424626
532.2999877929688,532.58,531.88,527.5001,536.41,532.86,533.0,2051821,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001179306,BRK-B,2025-04-01 12:13:37.177306
532.27001953125,532.58,531.88,527.5001,536.41,532.73,532.98,2072158,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011792395,BRK-B,2025-04-01 12:18:37.210838
531.3599853515625,532.58,531.88,527.5001,536.41,532.54,532.71,2100601,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011772233,BRK-B,2025-04-01 12:23:37.484451
530.969970703125,532.58,531.88,527.5001,536.41,532.03,532.57,2120665,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011763592,BRK-B,2025-04-01 12:28:37.499047
531.2755737304688,532.58,531.88,527.5001,536.41,532.1,532.44,2150287,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011770462,BRK-B,2025-04-01 12:33:37.168178
530.9400024414062,532.58,531.88,527.5001,536.41,531.55,531.59,2179709,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011762929,BRK-B,2025-04-01 12:38:37.170415
531.2100219726562,532.58,531.88,527.5001,536.41,530.92,531.26,2208375,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001176891,BRK-B,2025-04-01 12:43:36.944337
531.780029296875,532.58,531.88,527.5001,536.41,531.14,531.29,2232588,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011781539,BRK-B,2025-04-01 12:48:37.472295
531.02001953125,532.58,531.88,527.5001,536.41,530.94,531.15,2260866,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011764702,BRK-B,2025-04-01 12:53:37.289826
531.280029296875,532.58,531.88,527.5001,536.41,531.21,531.49,2277801,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011770462,BRK-B,2025-04-01 12:58:37.341800
530.8762817382812,532.58,531.88,527.5001,536.41,531.42,531.78,2306305,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011761517,BRK-B,2025-04-01 13:03:37.996174
530.7575073242188,532.58,531.88,527.5001,536.41,530.88,531.38,2329370,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011758886,BRK-B,2025-04-01 13:08:37.193637
530.710205078125,532.58,531.88,527.5001,536.41,530.98,531.28,2361180,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011757838,BRK-B,2025-04-01 13:13:37.281153
530.6699829101562,532.58,531.88,527.5001,536.41,530.49,530.88,2376017,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011756946,BRK-B,2025-04-01 13:18:37.081322
530.8200073242188,532.58,531.88,527.5001,536.41,530.61,530.91,2401096,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001176027,BRK-B,2025-04-01 13:23:37.982570
530.75,532.58,531.88,527.5001,536.41,530.58,531.0,2425151,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011758719,BRK-B,2025-04-01 13:28:37.259284
530.6099853515625,532.58,531.88,527.5001,536.41,530.51,530.88,2438419,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011755617,BRK-B,2025-04-01 13:33:37.319277
530.364990234375,532.58,531.88,527.5001,536.41,530.45,530.82,2459985,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001175019,BRK-B,2025-04-01 13:38:37.570501
530.4550170898438,532.58,531.88,527.5001,536.41,530.55,530.85,2478205,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011752184,BRK-B,2025-04-01 13:43:38.200632
530.47998046875,532.58,531.88,527.5001,536.41,530.47,530.76,2498438,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011752737,BRK-B,2025-04-01 13:48:37.942049
530.4400024414062,532.58,531.88,527.5001,536.41,530.13,530.52,2513545,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011751851,BRK-B,2025-04-01 13:53:37.223744
531.280029296875,532.58,531.88,527.5001,536.41,530.32,530.58,2549215,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011772122,BRK-B,2025-04-01 13:58:46.177388
531.6599731445312,532.58,531.88,527.5001,536.41,530.29,530.5,2569469,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011778879,BRK-B,2025-04-01 14:03:37.260076
531.6849975585938,532.58,531.88,527.5001,536.41,530.3,530.44,2608083,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011779434,BRK-B,2025-04-01 14:08:37.787078
531.510009765625,532.58,531.88,527.5001,536.41,531.02,531.28,2629960,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011775558,BRK-B,2025-04-01 14:13:37.247689
531.3900146484375,532.58,531.88,527.5001,536.41,531.2,531.67,2673527,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011772899,BRK-B,2025-04-01 14:18:37.173855
531.7449951171875,532.58,531.88,527.5001,536.41,531.43,531.95,2699733,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011780764,BRK-B,2025-04-01 14:23:37.269414
531.6950073242188,532.58,531.88,527.5001,536.41,531.35,531.53,2738477,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011779655,BRK-B,2025-04-01 14:28:37.286130
532.5020751953125,532.58,531.88,527.5001,536.41,531.35,531.75,2784557,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011797536,BRK-B,2025-04-01 14:33:37.269931
532.22998046875,532.58,531.88,527.5001,536.41,531.65,531.78,2813796,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011791508,BRK-B,2025-04-01 14:38:37.291647
532.1599731445312,532.58,531.88,527.5001,536.41,531.71,531.78,2866728,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011789957,BRK-B,2025-04-01 14:43:37.170940
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.3,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:07:00.767541
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.3,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:11:56.783139
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.2,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:16:56.795512
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.2,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:21:56.750944
